id,ara,siz,sex,age,Q2,Q3,Q4,a15,a16,a17,a18,Q5_1,Q5_5,Q5_2,Q5_3,Q5_9,Q5_6,Q6,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,a35,a36,Q11,Q12,a39,Q13,Q14,Q15,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a63,a65,Q18,a67,a68,a69,a70,a71,a72,a73,a74,a75,a76,a77,a78,a79,Q19_1,Q19_2,Q19_3,Q19_4,Q20,b07,b08,b09,b10,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q26_1,Q26_2,Q26_3,Q26_4,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,Q27,b49,b50,b51,b52,b53,b54,b55,b57,job,mar,edc,rel,inc,b66,b67,b68,b69,wara,db48,wt
222,1,1,1,4,1,1,3,3,2,2,3,2,1,2,1,2,1,4,4,3,4,5,3,4,3,4,2,2,1,5,4,4,4,2,4,2,2,2,4,1,1,2,1,2,2,1,2,1,2,2,1,1,4,5,2,3,3,3,4,4,2,3,2,2,2,4,3,2,4,3,2,3,2,2,2,3,2,2,3,1,3,2,1,2,2,2,1,1,2,2,2,2,3,3,2,2,3,2,3,1,1,3,3,3,3,2,2,2,1,1,2,1,2,1,2,4,3,2,2,4,4,5,5,2,4,2,2,98,4,3,4,2,11,1,3,1
223,1,1,2,3,4,3,5,4,2,3,3,2,1,2,4,1,2,4,3,4,4,5,4,5,5,4,2,2,1,5,3,3,3,1,2,1,1,1,3,1,2,1,1,2,1,2,1,2,2,2,3,1,4,4,2,3,4,3,4,4,1,1,2,1,1,4,4,1,4,3,4,2,3,1,2,3,3,2,2,1,3,4,1,2,3,2,1,3,2,3,3,3,3,3,2,1,3,1,3,3,3,1,1,3,2,2,1,1,1,2,2,3,1,1,2,2,3,2,3,4,4,4,6,2,5,2,3,2,4,3,4,2,16,1,1,.96969696969697
224,1,1,1,3,1,2,1,2,1,2,2,2,1,2,2,1,2,3,3,4,4,4,5,5,5,5,2,1,1,5,3,4,4,1,4,2,2,3,4,2,2,1,1,2,2,1,2,1,2,2,1,1,4,5,4,2,3,3,3,3,2,2,1,2,1,5,4,2,4,3,2,3,2,2,2,2,3,2,2,3,1,1,1,1,1,1,3,3,3,3,4,4,4,4,1,1,2,2,2,1,1,1,5,1,1,1,1,2,1,1,2,1,2,2,2,4,3,3,1,3,4,1,3,4,3,2,2,98,3,4,5,2,12,1,3,.967741935483871
225,1,1,2,2,2,2,5,3,3,2,2,2,2,3,3,3,3,3,1,3,3,3,4,4,4,5,2,2,2,4,2,3,2,2,4,2,4,3,4,4,2,2,1,2,2,2,3,2,3,2,2,1,2,3, ,3,3,4,3,3,2,3,3,2,1,1,2,3,3,3,3,3,2,1,2,2,2,3,3,1,3,1,1,2,2,2,1,3,3,2,2,3,3,3,2,1,2,2,2,1,2,2,5,2,5,1,2,3,2,2,2,2,2,3,3,3,3,2,3,3,3,4,5,2,5,2,2,98,3,4,5,2,1,1,2,1.03225806451613
226,1,1,1,2,2,3,2,3,2,1,2,2,1,3,3,2,3,3,3,4,4,4,3,4,5,4,3,3,1,5,4,4,4,2,4,2,2,4,4,1,2,2,2,2,2,1,2,3,2,2,3,3,4,5,2,4,4,4,4,4,1,4,3,2,1,4,4,3,3,3,2,1,2,2,3,3,2,3,3,1,2,2,2,2,3,3,3,3,3,3,4,4,3,3,2,2,3,2,3,1,3,3,3,4,3,3,2,1,2,2,2,1,2,1,2,3,4,3,3,4,4,3,4,3,3,2,2,98,3,4,5,2,1,1,2,.971428571428571
227,1,1,1,2,4,3,6,4,3,4,2,2,3,2,3,2,2,1,4,4,4,5,5,5,5,5,3,3,1,5,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,1,2,1,3,2,3,1,4,5,4,4,3,4,4,4,1,4,2,3,1,4,2,2,3,4,1,2,1,1,3,3,2,3,3,1,4,2,2,4,3,3,3,3,3,3,4,4,4,4,3,2,3,3,3,1,5,5,5,3,5,2,2,2,1,1,2,2,2,2,4,4,4,4,4,4,4,3,6,2,3,1,2,98,3,4,5,4,1,1,3,.971428571428571
228,1,1,2,1,1,1,2,3,1,2,2,1,1,2,3,2,3,5,1,3,3,5,4,3,5,2,2,1,2,2,3,3,2,1,4,2,4,3,4,3,2,2,1,1,1,1,2,1,3,2,2,1,3,4,2,2,4,3,3,2,1,3,3,2,1,2,2,2,3,2,5,4,2,2,2,2,1,3,3,1,3,1,2,3,3,2,3,3,3,2,3,4,3,3,1,1,3,2,3,3,2,2,2,2,5,1,3,2,1,1,2,2,3,3,3,2,3,2,2,3,3,4,4,2,4,1,3,98,4,3,4,3,1,1,1,1
229,1,1,2,2,2,2,4,3,2,2,2,1,2,1,3,1,2,2,3,2,2,1,2,5,4,5,3,3,3,5,3,4,3,3,3,2,2,2,4,2,2,2,1,2,1,1,1,1,1,1,1,2,3,5,1,2,3,3,3,2,1,3,2,1,1,3,2,2,2,2,3,4,4,2,2,2,2,2,2,1,3,4,2,3,3,3,3,1,2,3,3,3,4,4,2,2,3,3,3,1,2,1,2,2,2,2,1,1,2,1,1,2,2,2,3,3,3,3,3,4,4,3,5,3,5,2,3,2,4,3,4,2,11,1,2,1.03225806451613
230,1,1,1,3,1,2,3,2,2,2,1,2,1,1,3,1,2,4,3,3,4,4,3,4,5,4,2,2,3,4,4,4,2,2,3,1,2,2,4,2,2,2,2,2,1,1,1,1,1,1,2,2,2,4,3,2,3,3,4,2,2,3,2,1,1,4,2,3,3,3,2,3,2,1,1,3,2,3,2,3,4,1,2,2,2,2,3,3,2,3,4,4,4,4,2,2,2,2,2,1,2,3,4,2,2,2,2,1,1,2,2,3,2,1,2,2,3,3,1,2,3,1,3,2,2,2,3,1,3,4,4,2,1,1,1,.967741935483871
231,1,1,2,4,3,2,3,3,3,2,3,2,1,2,3,2,2,1,4,4,3,4,4,5,4,4,2,3,1,5,3,4,3,1,3,2,2,4,4,2,1,2,1,2,2,2,2,3,2,3,1,2,3,3, ,3,3,3,4,4,3,2,2,3,1,2,2,4,4,3,2,3,2,1,1,2,3,2,2,1,3,1,2,2,2,2,1,3,2,2,3,3,4,4,2,2,3,2,3,1,1,1,5,2,2,2,2,2,1,1,1,2,2,2,2,4,3,3,3,3,4,3,4,2,5,2,2,2,4,3,3,1,1,1,3,1
232,1,1,1,2,4,3,5,4,2,4,3,2,1,2,3,2,2,4,3,3,5,5,4,5,5,5,2,2,1,5,4,3,3,2,1,1,1,1,2,1,2,1,1,2,1,2,1,2,2,1,3,1,4,5,2,3,3,3,4,4,1,1,1,1,1,4,4,1,4,3,4,3,1,1,2,3,3,4,2,1,3,2,1,2,3,3,1,3,2,3,3,3,3,3,2,1,3,1,3,2,3,1,1,4,4,2,1,1,1,2,2,2,1,1,1,4,2,2,3,4,4,5,3,2,4,2,3,2,3,4,4,2,11,1,3,.971428571428571
233,1,1,1,1,4,4,2,2,1,3,2,2,1,2,1,2,2,4,3,4,4,4,5,3,4,4,2,2,1,1,4,4,4,4,4,4,3,3,4,3,2,2,2,2,2,1,1,1,2,2,2,1,4,4,2,3,3,3,2,3,2,1,2,2,1,4,2,2,3,2,2,3,3,1,2,2,3,2,2,1,4,1,1,2,3,3,1,1,2,2,3,2,2,3,2,2,3,2,3,1,2,3,2,3,2,2,2,2,1,1,2,2,2,1,2,2,3,2,2,4,4,2,4,3,3,1,2,2,3,4,5,2,1,1,1,1.05405405405405
234,1,1,2,2,1,2,2,3,1,2,1,2,1,1,2,2,1,5,3,2,5,4,5,5,4,5,1,1,1,2,3,2,1,1,3,2,3,2,3,2,2,1,1,2,1,1,1,1,1,1,1,3,3,3, ,2,2,3,3,2,3,1,1,2,1,2,1,1,3,2,3,4,3,3,2,2,2,3,1,3,3,4,1,2,3,2,4,3,3,3,2,3,3,3,1,1,4,2,3,1,2,2,4,4,2,1,2,1,1,1,2,2,1,2,2,2,3,2,3,4,4,2,8,2,4,1,3,2,2,3,4,1,1,1,1,1.03225806451613
235,1,1,1,1,4,3,5,3,3,3,2,3,3,3,3,2,2,1,4,4,5,5,5,5,5,5,3,3,1,1,4,4,4,1,4,4,4,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,4,5,1,2,3,3,5,4,2,2,3,3,1,1,3,2,3,3,2,2,2,2,3,3,3,2,2,1,3,2,1,1,1,1,3,3,3,3,2,2,3,3,1,1,1,1,1,3,5,5,5,5,5,2,5,1,1,1,1,2,3,2,4,1,3,3,2,3,3,2,6,1,6,1,3,98,3,4,4,4,1,1,1,1.05405405405405
236,1,1,1,3,1,2,2,2,1,3,1,1,1,2,2,3,2,5,3,3,5,5,5,5,5,5,3,3,3,2,2,3,3,2,3,1,3,3,4,2,2,1,2,2,1,1,1,1,2,1,3,1,2,2, ,1,4,4,1,1,4,4,1,3,2,1,1,2,3,2,3,3,3,3,2,3,1,3,1,1,2,1,1,2,1,1,3,3,2,3,3,3,3,3,1,2,2,2,3,1,2,4,3,2,2,1,2,2,2,1,2,3,4,3,3,2,2,2,1,2,2,1,7,2,2,2,3,2,4,3,5,3,1,1,1,.967741935483871
237,1,1,2,4,2,2,3,2,1,2,1,2,2,2,4,1,2,1,2,3,2,3,4,3,4,3,2,2,2,4,3,3,3,3,4,3,4,3,4,4,2,2,1,2,1,1,1,1,2,1,2,2,2,3, ,2,2,2,2,2,1,2,3,2,2,4,3,3,3,3,4,4,4,4,1,2,1,2,2,1,3,4,1,2,2,2,1,1,3,4,3,3,3,3,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,2,2,3,3,3,2,2,2,2,3,8,3,5,2,2,98,3,3,4,3,13,1,2,1
238,1,1,1,2,3,3,4,2,3,2,3,2,2,3,4,3,2,3,3,3,3,2,3,4,3,4,2,2,1,4,3,3,3,3,4,3,3,4,4,4,2,2,1,2,1,1,1,1,1,1,2,3,2,3, ,2,2,3,2,1,2,3,2,2,1,4,1,2,2,3,4,4,3,3,2,2,1,3,2,1,3,1,1,2,2,2,1,3,3,3,3,2,3,3,1,1,2,2,2,3,1,1,3,2,2,2,1,1,2,2,1,2,3,3,2,3,3,2,2,2,3,2,7,3,4, ,3,2,4,2,3,2,1,1,2,.971428571428571
239,1,1,1,3,3,2,5,3,2,3,2,3,2,3,2,2,2,3,3,3,3,3,3,4,3,4,1,1,2,4,3,4,2,2,4,3,3,4,4,4,2,2,1,2,1,1,2,1,1,1,2,2,2,4,1,3,3,3,3,2,3,2,2,2,2,3,2,2,2,3,3,4,4,3,2,2,2,3,2,4,1,2,3,2,2,2,1,1,2,3,3,3,3,3,2,1,2,2,2,1,2,3,2,3,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,3,5,3,2,2,2,2,3,4,5,2,12,1,1,.967741935483871
240,1,1,1,2,4,3,5,3,2,3,3,2,3,2,2,3,2,5,3,3,4,3,2,3,4,3,2,2,2,1,3,4,4,2,4,3,3,4,4,4,2,2,1,2,1,1,1,1,2,1,2,2,2,4,1,2,3,3,3,2,3,4,3,3,1,3,2,2,2,3,3,2,3,3,2,2,3,2,2,1,1,2,1,2,2,2,1,3,3,3,3,3,3,4,2,2,2,2,3,2,3,2,3,2,1,2,2,2,2,3,2,2,1,2,3,2,2,2,2,2,3,2,6,2,3,2,2,98,2,3,3,3,8,1,1,.971428571428571
241,1,1,2,2,4,3,5,3,3,3,2,2,2,1,2,2,1,1,3,3,3,2,3,2,3,4,1,1,3,4,3,3,3,3,4,3,3,4,4,4,2,2,1,2,1,2,1,1,2,1,1,2,3,3, ,3,3,3,3,2,2,1,2,2,1,3,2,2,2,3,3,2,3,3,3,2,3,2,2,1,3,2,1,1,1,2,1,2,3,3,3,2,3,3,2,2,3,2,2,2,2,3,2,1,2,2,2,2,3,2,2,3,2,2,2,2,3,2,2,1,2,2,6,2,5,2,3,1,4,3,3,2,15,1,1,1.03225806451613
242,1,1,1,3,1,1,5,2,1,1,1,1,2,1,4,2,3,1,2,2,3,5,4,3,5,3,2,2,3,2,3,4,2,3,2,2,2,3,3,2,2,2,2,2,1,1,1,1,2,1,3,4,2,1, ,1,4,4,1,2,4,1,3,3,3,2,1,1,1,2,3,3,3,3,1,2,2,3,2,1,3,1,1,2,2,2,2,2,3,2,2,3,2,2,3,2,2,1,1,1,1,4,4,1,1,1,4,1,1,1,1,2,2,3,1,2,4,2,1,1,4,1,6,2,2,2,2,99,1,4,4,3,1,4,1,1.125
243,1,1,1,1,4,2,5,3,3,3,4,3,3,2,3,3,2,1,3,3,5,5,5,5,5,5,2,3,2,4,3,2,4,2,4,2,4,4,4,4,2,2,2,2,1,1,1,1,1,1,1,1,3,5,2,4,4,4,3,5,4,3,4,1,1,2,4,4,4,3,5,5,5,1,2,4,3,3,2,1,3,1,3,3,3,3,1,3,3,3,3,3,3,3,1,3,3,3,3,1,1,1,5,1,2,1,1,1,1,1,1,1,1,1,2,3,4,2,2,3,4,3,6,3,6,1,3,98,3,3,3,1,4,4,2,1
244,1,1,2,2,2,2,3,2,1,2,1,2,1,1,1,2,1,5,2,3,5,5,5,3,5,5,1,2,2,2,3,2,2,2,3,3,4,3,4,3,2,2,1,2,1,1,1,1,1,1,2,2,1,4,1,2,3,3,3,3,2,1,1,2,1,2,1,4,4,4,4,5,4,5,1,2,3,2,1,3,1,1,3,2,2,1,1,1,2,2,2,2,3,4,2,1,2,2,3,1,1,1,3,1,2,3,2,1,2,2,2,1,2,2,3,2,3,2,2,2,3,3,8,2,5,2,3,98,4,3,3,2,11,4,1,.888888888888889
245,1,1,1,3,4,2,6,3,4,2,3,3,2,1,3,2,1,3,1,3,5,5,5,5,5,5,3,3,1,2,3,3,3,1,4,4,3,4,4,3,2,2,2,2,2,1,1,2,2,1,1,2,3,4,2,2,3,3,3,2,4,3,2,1,3,3,3,3,3,3,2,2,2,4,1,3,2,3,3,1,3,1,1,3,3,2,1,1,3,4,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,4,2,3,3,3,3,2,3,3,4,3,5,1,3,1,2,2,2,3,4,2,4,4,2,1.125
246,1,1,2,1,4,3,5,3,2,2,2,2,3,4,3,2,1,3,3,4,1,4,4,4,2,5,3,3,3,2,2,4,2,2,4,2,4,1,4,4,2,1,2,2,1,2,1,2,1,1,1,3,4,3, ,4,3,4,2,2,2,3,3,2,2,3,2,2,3,3,4,4,3,2,2,2,2,4,2,1,3, ,1,1,3,3,3,3,3,2,2,4,2,3,4,2,2,2,1,3,2,2,2,4,4,3,3,1,1,1,1,1,1,1,4,3,4,1,2,2,3,5,5,4,6,1,3,3,2,2,3,1,4,4,2,1
247,1,1,2,3,2,2,4,2,2,2,2,2,2,2,3,2,2,3,2,3,5,5,5,5,5,5,3,3,1,5,3,3,2,2,4,2,3,4,4,4,2,2,2,2,1,1,1,1,1,1,2,1,3,3, ,2,3,3,3,2,2,2,2,1,2,4,3,2,3,3,4,4,4,3,1,3,1,4,2,1,3,1,1,1,3,3,3,3,3,3,2,2,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,4,2,2,2,3,3,5,2,5,2,2,3,2,3,4,2,10,4,2,1
248,1,1,1,4,1,2,3,1,1,1,1,2,2,2,3,2,2,1,1,2,4,4,4,4,4,4,3,3,2,2,2,3,3,4,4,1,4,4,4,3,2,2,2,2,1,1,1,1,1,1,4,4,1,2, ,1,4,4,1,1,1,1,1,1,2,2,3,3,3,2,5,5,5,5,1,1,1,1,1,4,1,1,2,2,2,2,1,1,2,2,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,2,5,1,1,1,1,1,1,1,3,4,2,2,3,3,3,4,5,2,2,2,3,98,2,3,4,2,11,4,3,1
249,1,1,2,4,1,2,2,2,2,2,1,2,2,1,3,2,2,4,2,3,4,2,5,4,5,5,1,1,1,5,3,2,3,2,3,3,2,4,4,2,2,2,1,2,2,4,4,1,2,3,1,1,2,3, ,2,2,2,2,3,2,2,1,2,1,2,2,2,2,2,5,5,4,2,1,2,1,4,4,1,3,1,1,2,3,3,1,3,3,3,2,2,3,3,1,1,2,2,2,3,2,2,2,4,4,2,2,1,3,1,2,2,2,2,2,2,1,1,2,3,4,3,6,2,2,2,2,2,3,3,4,1,8,4,1,1
250,1,1,2,2,3,2,4,1,2,2,2,3,2,2,3,3,1,4,3,3,5,5,5,5,5,5,2,2,3,2,2,3,3,1,4,4,3,4,4,3,2,2,2,2,1,1,1,1,1,1,3,4,4,3, ,4,3,3,3,2,3,2,2,2,1,3,3,3,3,4,5,5,5,1,1,3,4,4,4,1,1,1,4,4,4,4,4,4,4,4,3,3,3,3,4,2,2,2,3,3,2,2,2,2,2,2,1,1,1,1,1,3,3,3,3,5,4,3,2,2,4,3,6,3,5,2,2,98,2,4,4,3,14,4,3,.888888888888889
251,1,1,2,3,1,2,3,1,2,2,1,1,2,1,4,1,1,2,2,3,2,1,1,3,1,1,3,3,2,2,3,2,2,2,4,3,3,4,4,3,2,2,2,2,1,1,1,1,2,1,1,4,3,4,1,2,3,3,3,2,1,1,2,2,1,4,3,3,3,3,2,3,2,2,1,2,2,3,3,1,5,1,1,3,2,3,3,3,3,3,1,2,2,2,1,1,1,1,1,3,2,2,3,2,2,3,2,1,1,1,1,1,1,2,3,3,4,2,3,3,3,4,5,2,5,2,3,2,4,4,4,4,3,4,2,1
252,1,1,1,4,2,2,3,2,1,1,3,2,1,2,3,1,1,3,1,2,4,5,5,4,4,3,1,3,1,2,3,3,3,2,2,2,2,3,3,2,2,1,1,2,1,1,1,1,2,2,2,1,2,3, ,1,3,3,2,1,4,4,2,2,1,3,4,3,2,2,4,4,3,3,1,2,2,3,2,1,4,1,2,2,3,3,1,3,3,4,3,4,4,3,2,2,3,2,3,3,2,3,3,2,3,2,2,2,2,2,2,2,3,3,3,4,3,2,2,3,4,3,7,2,2,2,3,1,3,4,4,2,9,4,3,1
253,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,5,2,3,3,3,2,4,4,4,2,2,2,2,4,3,4,1,4,4,4,4,4,4,2,1,1,2,1,1,1,1,1,1,1,2,2,4,3,1,4,3,2,2,2,3,3,2,1,1,1,1,2,2,3,3,3,4,2,3,2,3,2,2,2,1,2,3,1,1,3,3,2,2,3,3,3,3,1,1,1,1,1,3,2,2,2,1,2,1,2,1,1,1,2,2,3,2,3,3,4,1,2,3,4,2,5,2,4,1,3,3,4,3,5,1,4,4,2,.888888888888889
254,1,1,2,3,2,2,4,1,2,1,1,1,1,1,3,2,1,5,2,2,4,2,4,4,5,5,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2, ,2,2,2,2,3,3,3,2,2,1,4,2,1,3,1,3,3,3,3,1,2,2,3,3,1,3,3,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,3,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,4,2,2,2,3,2,5,2,3,2,2,98,4,2,3,1,11,4,1,1
255,1,1,1,1,3,4,5,3,2,2,4,4,2,1,1,1,1,5,1,3,5,5,4,2,3,5,2,2,1,2,4,4,3,2,4,4,4,4,4,4,2,2,1,2,2,1,1,2,2,1,2,1,3,5,1,3,4,3,3,3,2,1,3,3,3,3,1,1,3,3,2,5,5,5,2,3,3,3,3,2,2,1,2,3,4,3,1,3,3,2,4,4,4,4,1,1,2,2,1,3,5,5,5,5,5,5,5,1,1,1,2,3,2,3,4,5,3,1,2,2,4,1,3,2,6,1,3,2,1,3,4,2,12,4,3,1
256,1,1,2,1,2,2,3,3,2,1,2,3,2,3,2,3,2,1,2,2,3,2,2,3,2,2,2,1,4,1,3,1,1,2,1,2,1,1,2,3,2,2,1,2,2,2,3,3,2,2,1,5,3,3, ,2,3,3,2,3,3,3,3,3,2,3,2,2,4,1,3,3,3,3,1,2,3,4,2,4,2,1,1,3,2,2,1,3,3,3,3,2,2,2,2,1,1,1,1,2,5,5,5,3,5,2,1,1,2,2,2,2,2,2,3,3,3,1,2,2,2,4,5,2,3,1,2,2,4,2,3,1,4,4,2,1
257,1,1,1,2,3,2,3,2,2,2,2,1,1,1,3,3,3,1,2,2,1,1,1,1,1,1,2,2,1,2,2,3,2,3,2,2, ,3,4,3,2,2,1,2,1,1,1,3,3,2,2,2,3,3, ,2,3,3,2,2,3,3,2,3,3,3,3,3,3,2,3,4,2,3,1,2,2,4,1,1,4,1,2,2,2,2,3,3,3,3,4,4,4,4,2,2,2,2,2,3,2,5,3,2,3,2,5,1,1,1,2,3,3,4,2,3,3,2,1,2,3,1,4,3,2,2,3,2,3,4,4,2,12,4,2,1
258,1,1,2,1,3,2,3,2,2,2,2,2,2,1,3,3,3,1,3,3,4, ,3,2,2,2,3,3,1,2,2,3,2,2,4,3,4,4,4,4,2,2,2,2,1,1,1,2,2,2,2,3,2,2, ,2,3,3,3,2,3,2,2,3,3,3,2,2,3,3,3,3,3,2,2,2,3,2,3,1,2,1,1,2,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,3,2,2,2,3,1,1,1,2,1,2,3,2,3,3,2,2,2,4,3,3,2,5,2,3,98,2,4,5,2,1,1,2,1
259,1,1,2,1,2,1,2,3,2,2,2,2,2,2,3,2,2,5,2,1,4,4,2,4,4,4,1,3,2,2,2,2,1,3,2,4,4,4,4,2,2,2,2,2,1,1,1,2,2,2,2,1,3,4,1,3,3,3,3,1,4,2,3,5,3,1,2,3,1,2,3,3,3,3,1,2,2,3,3,3,2,1,1,1,3,1,3,3,2,2,3,4,3,3,2,3,4,3,3,1,1,4,4,1,1,2,3,1,1,1,2,1,2,2,3,3,3,4,1,1,3,1,2,1,4,1,2,2,3,3,3,3,1,1,2,1
260,1,1,2,2,3,2,2,3,2,2,1,2,2,2,3,3,3,1,2,2,4,2,3,3,2,1,3,3,1,2,2,2,2,3,4,2,4,3,4,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2, ,1,4,3,2,2,2,2,2,3,2,1,2,2,2,2,4,4,4,2,2,2,2,3,3,3,2,1,1,2,2,2,3,3,2,4,3,4,3,2,2,2,2,2,2,1,1,4,4,1,1,2,3,1,1,2,2,2,2,3,3,3,3,3,2,2,1,2,7,2,5,2,3,98,2,4,4,2,1,1,2,1.03225806451613
261,1,1,2,4,4,3,4,3,2,2,2,2,1, ,3,1,1,5,3,2,5,4,4,3,3,5,3,3,1,1,2,3,2,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3, ,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,4,4,4,4,2,2,2,2,2,2,2,1,3,3,3,3,1,4,2,4,3,3,3,3,2,2,2,2,2,2,1,3,3,2,1,2,2,2,1,2,1,2,2,2,4,3,3,2,3,3,3,5,5,2,5,2,2,3,3,3,4,2,1,1,2,1
262,1,1,1,1,4,3,3,2,2,2,2,3,3,3,3,3,3,1,3,3,4,3,2,3,2,2,3,3,1,3,2,3,2,2,4,2,4,4,4,4,2,2,2,2,2,1,2,2,1,2,2,2,2,3, ,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,4,3,2,2,1,2,3,2,2,3,2,1,3,3,3,3,1,4,2,4,3,3,3,3,2,2,2,2,2,2,1,2,3,2,2,2,2,1,1,1,2,2,2,2,2,3,3,2,2,2,2,2,7,3,3,1,3,2,3,3,4,2,1,1,2,1.05405405405405
263,1,1,1,4,2,2,2,3,2,2,1,1,2,2,3,2,2,1,2,1,4,5,4,4,4,4,3,3,1,2,2,2,1,3,4,3,2,2,4,3,2,2,2,2,1,1,1,1,2,2,3,1,2,4,1,2,3,3,2,3,2,2,2,3,2,2,2,3,3,3,4,3,2,2,2,2,2,3,2,1,2,3,2,3,2,2,1,4,2,2,3,4,4,4,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,6,3,2,2,1,98,3,3,4,2,1,1,2,1
264,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,5,2,2,4,3,4,3,2,2,1,1,1,2,1,2,1,3,4,2,2,4,4,4,2,2,2,2,2,2,1,2,2,2,3,2,1,2, ,2,3,4,2,2,4,2,4,4,4,1,1,3,2,2,4,4,3,2,2,2,2,3,2,3,2,1,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,3,4,1,1,1,3,1,1,1,2,2,2,3,1,3,4,3,2,2,2,1,5,3,4,2,3,98,2,4,4,2,3,1,2,.971428571428571
265,1,1,1,3,1,2,2,1,1,1,1,1,1,1,3,2,3,1,1,2,2,2,4,4,2,1,2,2,3,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,1,1,1,1,2,1,3,2,1,2, ,1,4,4,1,1,5,1,4,5,4,1,4,4,2,2,4,4,4,4,1,2,1,4,2,3,1,1,2,3,2,1,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,4,4,1,1,1,3,1,1,1,3,1,1,3,1,2,4,3,1,1,1,1,3,3,2,1,3,3,3,3,4,1,12,1,1,.967741935483871
266,1,1,2,4,2,2,2,2,2,2,2,2,1,3,3,3,3,1,2,2,3,2,2,3,1,1,3,3,1,2,3,3,2,2,4,4,4,4,4,4,2,2,2,2,2,1,1,2,2,2,2,5,2,2, ,1,4,3,1,2,4,2,4,5,1,3,4,4,4,2,4,3,3,3,1,2,2,3,3,3,2,1,2,3,3,3,1,4,3,3,3,3,3,3,2,2,2,2,2,3,1,3,3,1,1,2,2,1,1,1,2,2,2,2,3,3,3,2,2,1,1,2,4,3,2,2,1,1,1,4,5,2,14,1,2,.9
267,1,2,1,4,2,2,6,2,2,2,2,1,2,1,3,2,2,3,3,3,4,4,2,5,3,4,2,2,1,2,3,4,3,4,3,2,3,2,4,4,1,1,1,2,1,1,1,2,2,2,4,1,2,3, ,2,2,2,2,4,2,2,4,2,2,2,2,3,3,2,4,4,4,3,2,3,2,2,4,1,3,1,1,1,1,1,1,3,3,3,3,3,3,3,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,3,2,2,3,1,5,2,1,2,2,4,2,7,4,6,2,3,98,4,3,3,1,15,8,3,1
268,1,2,1,1,2,2,4,3,3,2,2,2,2,2,3,3,3,1,3,4,5,4,4,4,4,1,1,1,1,2,3,2,2,2,4,3,4,4,4,3,2,2,1,2,1,1,1,2,2,2,4,2,4,4,1,2,2,2,3,4,2,2,2,2,1,3,2,3,2,2,4,4,4,4,2,3,2,3,3,1,1,1,2,2,4,1,3,3,3,3,3,3,3,3,1,2,2,2,2,1,2,2,5,2,2,2,2,2,1,2,3,2,1,2,3,1,3,1,1,2,4,2,5,3,6,1,3,98,3,3,3,1,8,8,1,1
269,1,2,1,3,1,2,5,3,3,3,3,2,2,3,3,3,3,1,3,3,3,3,4,3,4,4,1,1,2,5,4,3,3,2,4,3,3,3,4,3,2,2,1,2,1,1,1,2,2,1,3,1,2,3, ,2,2,2,5,2,3,3,3,2,2,2,2,2,2,3,4,4,4,4,2,3,2,3,3,2,3,1,1,1,1,1,3,3,3,3,2,3,3,3,1,2,2,2,2,3,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,3,3,3,1,2,4,1,6,2,2,2,3,98,3,3,3,2,1,8,2,1.02941176470588
